P_ID,PName,L1_Status,L2_Status,L1_Code,L2_Code
656,sloppy-denim-wolfhound,1,0,war_zone,
358,skinny-grey-quetzal,0,0,,
296,silly-taupe-ray,1,0,war_zone,
644,randy-turquoise-scorpion,1,1,speed_blitz,cosmic_vision
320,chewy-harlequin-gharial,0,0,,
632,dorky-heliotrope-barracuda,1,1,speed_blitz,splippery_slope
428,leaky-magnolia-iguana,1,0,leap_of_faith,
429,flabby-firebrick-bee,1,1,speed_blitz,cosmic_vision
310,gloppy-tomato-wasp,1,1,war_zone,splippery_slope
211,breezy-indigo-starfish,1,1,war_zone,splippery_slope
319,chummy-flax-crab,1,0,speed_blitz,
547,scanty-beige-ray,1,0,bulls_eye,
376,pretty-champagne-spaniel,0,0,,
300,lanky-asparagus-gar,1,1,speed_blitz,cosmic_vision
224,nippy-peach-neanderthal,1,1,war_zone,splippery_slope
641,homey-alizarin-gar,0,0,,
430,messy-wisteria-termite,1,1,leap_of_faith,resurgence
558,woozy-crimson-hound,0,0,,
463,messy-magnolia-woodpecker,1,0,war_zone,
603,smelly-linen-leopard,1,1,war_zone,splippery_slope
242,slaphappy-cinnamon-squirrel,1,0,bulls_eye,
292,ugly-goldenrod-numbat,1,0,bulls_eye,
590,stealthy-xanthic-cattle,1,1,war_zone,splippery_slope
483,tasty-peach-fly,1,1,bulls_eye,cosmic_vision
368,homely-vermilion-toad,1,1,war_zone,resurgence
653,breezy-buff-tarantula,1,0,leap_of_faith,
441,woozy-magenta-birman,1,0,speed_blitz,
663,fuzzy-cornflower-whippet,1,1,bulls_eye,resurgence
422,pasty-silver-raccoon,1,1,bulls_eye,splippery_slope
683,craggy-ivory-dragonfly,1,1,speed_blitz,splippery_slope
